2017-10-24 03:13:15 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:13:15 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:13:15 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:13:15 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Element/page_sidebar.ctp, line 149]


2017-10-24 03:13:34 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:13:34 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:13:34 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:13:43 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:13:43 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:13:43 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:14:05 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:14:05 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:14:05 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:14:14 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:14:14 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:14:14 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:15:14 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:15:14 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:15:14 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:15:28 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:15:28 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:15:28 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:15:40 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:15:40 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:15:40 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:17:35 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:17:35 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:17:35 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:18:20 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:18:20 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:18:20 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:18:35 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:18:35 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:18:35 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


2017-10-24 03:19:08 Notice: Notice (8): Undefined variable: shortname in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 22]


2017-10-24 03:19:08 Notice: Notice (8): Undefined variable: currentmonth_patients in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 53]


2017-10-24 03:19:08 Notice: Notice (8): Undefined variable: phone in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Template/Dashboard/index.ctp, line 187]


